timestamp,user_id,tool,action,task_category,duration_seconds,context,is_primary_window
2025-03-03 08:31:05,SDR_001,Salesforce,view_dashboard,crm_data_entry,187,"Dashboard: Today's Activities",1
2025-03-03 08:34:12,SDR_001,Salesforce,view_pipeline,crm_data_entry,246,"Pipeline: March Open Deals",1
2025-03-03 08:38:18,SDR_001,Salesforce,update_contact,crm_data_entry,128,"Contact: Jennifer Walsh - VP Sales TechFlow",1
2025-03-03 08:40:26,SDR_001,Salesforce,add_activity_log,crm_data_entry,95,"Activity: Friday follow-up call logged",1
2025-03-03 08:42:01,SDR_001,Salesforce,create_task,scheduling_discovery,76,"Task: Schedule demo - TechFlow Inc",1
2025-03-03 08:43:17,SDR_001,LinkedIn,search_people,prospecting_lead_gen,213,"Search: VP Sales fintech Series B 50-200 employees",1
2025-03-03 08:46:50,SDR_001,LinkedIn,view_profile,prospecting_lead_gen,189,"Profile: Marcus Chen - CRO Finova Technologies",1
2025-03-03 08:50:00,SDR_001,LinkedIn,view_profile,prospecting_lead_gen,145,"Profile: Rachel Torres - Director Sales CloudBase",1
2025-03-03 08:52:25,SDR_001,ZoomInfo,company_search,account_research,231,"Company: Finova Technologies",1
2025-03-03 08:56:16,SDR_001,ZoomInfo,view_intent_data,account_research,178,"Intent signals: Finova - CRM Software, Sales Enablement",1
2025-03-03 08:59:14,SDR_001,ZoomInfo,contact_search,account_research,142,"Contacts: Finova decision makers filter",1
2025-03-03 09:01:36,SDR_001,ZoomInfo,export_contacts,account_research,34,"Export: 3 contacts to Salesforce",1
2025-03-03 09:02:10,SDR_001,Salesforce,add_contact,crm_data_entry,163,"New Contact: Marcus Chen - Finova",1
2025-03-03 09:04:53,SDR_001,LinkedIn,send_connection,linkedin_outreach_social,88,"Connection request: Marcus Chen",1
2025-03-03 09:06:21,SDR_001,LinkedIn,write_message,cold_emailing_outreach,267,"InMail draft: Marcus Chen - personalized CRO message",1
2025-03-03 09:10:48,SDR_001,LinkedIn,view_profile,prospecting_lead_gen,134,"Profile: David Kim - VP RevOps Payrise",1
2025-03-03 09:13:02,SDR_001,LinkedIn,send_connection,linkedin_outreach_social,67,"Connection request: David Kim",1
2025-03-03 09:14:09,SDR_001,Salesforce,log_call,cold_calling,312,"Call: TechFlow Inc - John Peterson - no answer",1
2025-03-03 09:19:21,SDR_001,Salesforce,log_call,cold_calling,428,"Call: DataSync Corp - Maria Lopez - voicemail left",1
2025-03-03 09:26:29,SDR_001,Salesforce,log_call,cold_calling,267,"Call: InnovateCo - Derek Smith - 4min conversation",1
2025-03-03 09:31:00,SDR_001,Salesforce,update_opportunity,crm_data_entry,145,"Opportunity: InnovateCo - Stage 2 Interested",1
2025-03-03 09:33:25,SDR_001,LinkedIn,view_feed,linkedin_outreach_social,189,"Feed: Engage with prospect content",1
2025-03-03 09:36:34,SDR_001,LinkedIn,comment_post,linkedin_outreach_social,134,"Comment: Derek Smith post about sales ops",1
2025-03-03 09:38:48,SDR_001,Zapier,view_zap,crm_data_entry,98,"Zap: LinkedIn lead → Salesforce contact",1
2025-03-03 09:40:26,SDR_001,Zapier,edit_zap,crm_data_entry,234,"Edit: LinkedIn form fill to Salesforce automation",1
2025-03-03 09:44:20,SDR_001,Zapier,run_zap,crm_data_entry,45,"Test: Zap execution successful",1
2025-03-03 09:45:05,SDR_001,Linear,view_board,prospecting_lead_gen,112,"Board: SDR Tasks - March Sprint",1
2025-03-03 09:46:57,SDR_001,Linear,create_issue,prospecting_lead_gen,167,"Issue: Research fintech accounts batch 3",1
2025-03-03 09:49:44,SDR_001,Linear,update_issue,followup_cadence,89,"Update: TechFlow outreach → In Progress",1
2025-03-03 09:51:13,SDR_001,ZoomInfo,technology_filter,account_research,198,"Filter: Uses HubSpot NOT Salesforce 50-200 emp",1
2025-03-03 09:54:31,SDR_001,ZoomInfo,company_search,account_research,243,"Results: 47 companies matching ICP criteria",1
2025-03-03 09:59:30,SDR_001,ZoomInfo,export_contacts,account_research,56,"Export: 12 contacts batch to Salesforce",1
2025-03-03 10:01:26,SDR_001,Salesforce,view_reports,crm_data_entry,176,"Report: Morning call activity summary",1
2025-03-03 10:04:22,SDR_001,Salesforce,log_call,cold_calling,521,"Call: AlphaTech - Susan Park - discovery intent confirmed",1
2025-03-03 10:13:03,SDR_001,Salesforce,update_opportunity,crm_data_entry,134,"Opportunity: AlphaTech - Stage 3 Meeting Scheduled",1
2025-03-03 10:15:17,SDR_001,Salesforce,create_task,scheduling_discovery,98,"Task: Send calendar invite AlphaTech 15-Mar",1
2025-03-03 10:16:55,SDR_001,Salesforce,log_call,cold_calling,198,"Call: NexGen Systems - Ben Carter - not interested",1
2025-03-03 10:20:13,SDR_001,LinkedIn,search_companies,prospecting_lead_gen,221,"Search: B2B SaaS 100-500 employees Chicago",1
2025-03-03 10:23:54,SDR_001,LinkedIn,view_company,account_research,156,"Company: Pulse Analytics HQ",1
2025-03-03 10:26:30,SDR_001,Salesforce,log_call,cold_calling,389,"Call: Pulse Analytics - Tom Reeves - callback requested",1
2025-03-03 10:33:00,SDR_001,Salesforce,add_activity_log,crm_data_entry,102,"Activity: Callback scheduled Pulse Analytics Fri 2pm",1
2025-03-03 13:01:44,SDR_001,Salesforce,view_dashboard,crm_data_entry,134,"Dashboard: Afternoon pipeline check",1
2025-03-03 13:03:58,SDR_001,LinkedIn,search_people,prospecting_lead_gen,198,"Search: Head of Operations logistics SaaS",1
2025-03-03 13:07:16,SDR_001,LinkedIn,write_message,cold_emailing_outreach,312,"InMail: Rachel Torres - CloudBase outreach",1
2025-03-03 13:12:28,SDR_001,ZoomInfo,company_search,account_research,201,"Company: Scale Commerce deep dive",1
2025-03-03 13:15:49,SDR_001,ZoomInfo,view_intent_data,account_research,167,"Intent: Scale Commerce - ecommerce platform migration",1
2025-03-03 13:18:36,SDR_001,Salesforce,log_call,cold_calling,478,"Call: Scale Commerce - Amy Nguyen - interested book meeting",1
2025-03-03 13:26:54,SDR_001,Salesforce,update_opportunity,crm_data_entry,189,"Opportunity: Scale Commerce - NEW Stage 2",1
2025-03-03 13:30:03,SDR_001,Salesforce,log_call,cold_calling,234,"Call: Vertex AI Co - Chris Brown - gatekeeper no transfer",1
2025-03-03 13:34:17,SDR_001,Zapier,view_history,crm_data_entry,88,"Zap run history: check failures",1
2025-03-03 13:35:45,SDR_001,Linear,view_board,crm_data_entry,143,"Board: End of day review sprint tasks",1
2025-03-03 13:38:08,SDR_001,Linear,update_issue,followup_cadence,76,"Update: InnovateCo Derek - meeting booked",1
2025-03-03 13:39:24,SDR_001,Jira,view_ticket,objection_handling,134,"Ticket: PROD-2341 feature request from prospect DataSync",1
